DOY2,HR2,TA,RH,VPD
7,0.75,13.755,94.3,0.635
7,1.25,13.17,95.5,0.47
7,1.75,13.925,95.85,0.495
7,2.25,13.785,96.5,0.37
7,2.75,13.555,96.6,0.39
7,3.25,13.27,96.65,0.385
7,3.75,13.43,97.3,0.315
7,4.25,12.8,97.3,0.32
7,4.75,13.14,98,0.29
7,5.25,13.455,98,0.26
7,5.75,13.975,98.3,0.25
7,6.25,13.96,98.35,0.21
7,6.75,13.88,98.85,0.16
7,7.25,14.18,99,0.19
7,7.75,15.18,96.9,0.675
7,8.25,16.715,88.9,2.22
7,8.75,18.23,81.3,4.02
7,9.25,19.325,79.9,5.165
7,9.75,20.535,71.6,7.43
7,10.25,21.685,65.925,9.895
7,10.75,22.73,62.46,11.145
7,11.25,23.875,59.54,12.72
7,11.75,24.73,56.205,14.19
7,12.25,25.24,52.84,15.02
7,12.75,26.51,49.935,15.865
7,13.25,27.31,47.57,17.2
7,13.75,27.12,46.49,18.035
7,14.25,27.885,46.225,18.46
7,14.75,27.695,44.725,18.745
7,15.25,27.65,43.6,19.84
7,15.75,27.775,44.35,20.515
7,16.25,27.67,44.34,20.755
7,16.75,27.045,44.06,19.575
7,17.25,27.05,44.36,18.985
7,17.75,27.15,45.67,18.62
7,18.25,26.15,47.395,16.96
7,18.75,25.86,48.88,16.455
7,19.25,25.125,51.13,14.955
7,19.75,23.55,53.095,13.095
7,20.25,22.66,55.78,11.68
7,20.75,21.145,61.665,9.165
7,21.25,19.82,67.695,6.47
7,21.75,18.635,76.4,4.39
7,22.25,17.45,83.25,2.88
7,22.75,16.54,87.1,2.005
7,23.25,15.24,90.3,1.34
7,23.75,14.36,93.1,0.91
8,0.25,13.87,95.95,0.46
8,0.75,13.565,96.2,0.36
8,1.25,13.59,96.8,0.36
8,1.75,13.435,97.15,0.295
8,2.25,13.51,97.45,0.245
8,2.75,13.3,97.8,0.25
8,3.25,13.44,98.1,0.23
8,3.75,13.395,98.25,0.155
8,4.25,13.175,98.3,0.18
8,4.75,12.835,98.45,0.145
8,5.25,12.215,98.55,0.135
8,5.75,11.525,98.4,0.18
8,6.25,11.75,98.4,0.17
8,6.75,11.63,98.75,0.145
8,7.25,11.455,98.9,0.15
8,7.75,13.39,99.2,0.155
8,8.25,14.51,96.2,0.77
8,8.75,16.18,85.9,2.84
8,9.25,17.69,83.2,4.17
8,9.75,18.625,78.85,5.12
8,10.25,19.59,76.1,5.8
8,10.75,20.635,71.85,7.16
8,11.25,21.53,68.305,9.145
8,11.75,22.18,65.5,9.52
8,12.25,23.105,63.7,10.97
8,12.75,23.535,58.03,12.24
8,13.25,24.345,56.6,13.13
8,13.75,24.17,56.01,14.75
8,14.25,24.7,52.755,15.31
8,14.75,25.1,50.67,15.75
8,15.25,25.025,51.525,15.945
8,15.75,24.765,50.185,16.675
8,16.25,25.465,49.045,16.495
8,16.75,24.98,48.985,16.41
8,17.25,24.64,49.18,16.695
8,17.75,24.295,49.65,15.6
8,18.25,23.465,51.24,13.94
8,18.75,23.005,53.235,13.185
8,19.25,22.345,55.535,11.98
8,19.75,22.25,60.535,9.77
8,20.25,20.2,67.035,7.855
8,20.75,18.87,74.95,5.02
8,21.25,17.03,82.8,3.565
8,21.75,16.035,87.25,2.24
8,22.25,14.545,90.05,1.575
8,22.75,14.435,92,1.045
8,23.25,14.425,93.7,0.83
8,23.75,14.645,95.35,0.585
9,0.25,14.76,95.3,0.62
9,0.75,14.085,96.05,0.65
9,1.25,14.015,96.3,0.575
9,1.75,14.17,94.3,0.835
9,2.25,13.75,94.7,0.645
9,2.75,13.745,96.1,0.39
9,3.25,13.68,95.8,0.35
9,3.75,13.34,96.1,0.38
9,4.25,13.295,96.4,0.39
9,4.75,13.02,97.1,0.24
9,5.25,13.285,97.4,0.26
9,5.75,13.93,97.2,0.32
9,6.25,14.065,97.25,0.315
9,6.75,13.925,97.9,0.27
9,7.25,14.19,98.1,0.24
9,7.75,14.495,98.15,0.335
9,8.25,14.85,97.75,0.44
9,8.75,15.48,93.3,1.19
9,9.25,16.54,86.3,2.37
9,9.75,17.305,85.8,3.505
9,10.25,17.995,79,4.69
9,10.75,18.625,74.2,6.19
9,11.25,19.77,67.54,8.57
9,11.75,20.96,61.63,10.52
9,12.25,21.72,56.61,11.12
9,12.75,22.88,54.425,12.665
9,13.25,23.22,53.375,14.095
9,13.75,23.95,51.015,15.12
9,14.25,24.33,50.46,16.195
9,14.75,24.05,48.455,15.72
9,15.25,23.6,47.99,15.81
9,15.75,24.09,45.79,15.2
9,16.25,24.16,47.15,16.14
9,16.75,23.6,49.53,15.43
9,17.25,23.63,47.05,15.705
9,17.75,23.16,49.195,14.66
9,18.25,22.895,52.23,14.03
9,18.75,22.04,55.16,12.21
9,19.25,21.22,60.495,9.315
9,19.75,20.605,67.33,8
9,20.25,19.23,75.3,6.49
9,20.75,17.92,82.7,3.145
9,21.25,17.335,85.45,2.675
9,21.75,16.825,86.3,2.615
9,22.25,16.11,87.4,1.81
9,22.75,16.1055,89.7,1.485
9,23.25,15.51,90.85,1.645
9,23.75,14.955,93.1,1
10,0.25,0.377,95.4,0.22
10,0.75,0.407,94.8,0.28
10,1.25,0.178,95.2,0.24
10,1.75,0.627,94.85,0.265
10,2.25,1.05,94.3,0.33
10,2.75,0.576,95.8,0.28
10,3.25,-0.001,94.9,0.225
10,3.75,-0.031,95.4,0.225
10,4.25,0.017,96.6,0.205
10,4.75,-0.031,96.4,0.18
10,5.25,-0.041,96.3,0.2
10,5.75,-0.149,96.3,0.18
10,6.25,0.013,95.6,0.2
10,6.75,0.08,95.5,0.21
10,7.25,0.004,95.9,0.22
10,7.75,0.133,96.1,0.21
10,8.25,0.076,95.8,0.18
10,8.75,0.898,96.2,0.19
10,9.25,3.241,95.05,0.33
10,9.75,3.753,91.4,0.885
10,10.25,4.499,90.4,0.86
10,10.75,5.535,85.25,1.22
10,11.25,6.353,82.25,1.46
10,11.75,7.15,75.5,1.935
10,12.25,6.901,70.55,2.22
10,12.75,8.36,69.04,2.81
10,13.25,8.79,61.72,3.56
10,13.75,9.12,59.26,3.77
10,14.25,9.265,57.65,4.22
10,14.75,9.265,59.38,3.77
10,15.25,9.13,60.07,4.12
10,15.75,8.72,60.07,4.46
10,16.25,8.31,59.78,4.73
10,16.75,8.74,62.665,4.695
10,17.25,7.76,62.695,4.285
10,17.75,7.555,60.47,3.79
10,18.25,7.07,68.445,2.95
10,18.75,6.3685,77.2,1.93
10,19.25,4.457,80.3,1.56
10,19.75,3.6065,85.5,1.31
10,20.25,2.3345,87.1,0.8
10,20.75,1.5295,92.7,0.49
10,21.25,0.7895,94.1,0.35
10,21.75,1.2245,92.95,0.4
10,22.25,1.0585,93.3,0.315
10,22.75,0.584,93.8,0.3
10,23.25,0.489,94,0.285
10,23.75,0.105,94.6,0.28
11,0.25,2.353,89.8,0.66
11,0.75,2.467,91,0.66
11,1.25,3.102,86.5,1.01
11,1.75,4.262,86.2,0.78
11,2.25,3.991,85.7,0.74
11,2.75,4.17,84.3,0.83
11,3.25,4.023,85,0.82
11,3.75,4.215,85.2,0.83
11,4.25,4.103,83.7,0.92
11,4.75,3.805,84.2,1.17
11,5.25,3.12,84.5,0.96
11,5.75,2.007,85.3,0.92
11,6.25,0.657,86,0.91
11,6.75,0.438,85.7,0.98
11,7.25,0.444,86.3,1
11,7.75,0.273,85.6,1.04
11,8.25,0.569,87.3,0.89
11,8.75,1.586,85.1,1.05
11,9.25,1.794,86.5,0.95
11,9.75,2.574,82.7,1.28
11,10.25,3.391,74.3,2.12
11,10.75,5.524,67.02,2.88
11,11.25,6.265,63.62,3.36
11,11.75,7.14,62.42,3.82
11,12.25,7.73,60.01,4.29
11,12.75,7.72,59.34,4.77
11,13.25,8.34,57.18,4.7
11,13.75,9.26,56.54,5.29
11,14.25,9.36,55.7,5.26
11,14.75,9.89,54.23,5.61
11,15.25,9.95,52.73,5.97
11,15.75,9.82,51.22,6.37
11,16.25,9.03,51.93,5.92
11,16.75,8.23,53.28,5.56
11,17.25,7.35,55.46,4.5
11,17.75,6.93,58.47,4.075
11,18.25,6.4395,64.2005,3.225
11,18.75,6.5775,69.705,3.125
11,19.25,5.6915,74.55,2.075
11,19.75,5.188,76,2.03
11,20.25,5.612,79.4,1.585
11,20.75,5.779,79.95,1.585
11,21.25,5.587,79.4,1.565
11,21.75,4.6495,79.05,1.505
11,22.25,3.884,83.9,1.505
11,22.75,3.407,83.5,1.305
11,23.25,2.2375,87.65,0.9
11,23.75,2.1035,89.8,0.6
12,0.25,2.353,89.8,0.66
12,0.75,2.467,91,0.66
12,1.25,3.102,86.5,1.01
12,1.75,4.262,86.2,0.78
12,2.25,3.991,85.7,0.74
12,2.75,4.17,84.3,0.83
12,3.25,4.023,85,0.82
12,3.75,4.215,85.2,0.83
12,4.25,4.103,83.7,0.92
12,4.75,3.805,84.2,1.17
12,5.25,3.12,84.5,0.96
12,5.75,2.007,85.3,0.92
12,6.25,0.657,86,0.91
12,6.75,0.438,85.7,0.98
12,7.25,0.444,86.3,1
12,7.75,0.273,85.6,1.04
12,8.25,0.569,87.3,0.89
12,8.75,1.586,85.1,1.05
12,9.25,1.794,86.5,0.95
12,9.75,2.574,82.7,1.28
12,10.25,3.391,74.3,2.12
12,10.75,5.524,67.02,2.88
12,11.25,6.265,63.62,3.36
12,11.75,7.14,62.42,3.82
12,12.25,7.73,60.01,4.29
12,12.75,7.72,59.34,4.77
12,13.25,8.34,57.18,4.7
12,13.75,9.26,56.54,5.29
12,14.25,9.36,55.7,5.26
12,14.75,9.89,54.23,5.61
12,15.25,9.95,52.73,5.97
12,15.75,9.82,51.22,6.37
12,16.25,9.03,51.93,5.92
12,16.75,8.23,53.28,5.56
12,17.25,7.35,55.46,4.5
12,17.75,6.93,58.47,4.075
12,18.25,6.4395,64.2005,3.225
12,18.75,6.5775,69.705,3.125
12,19.25,5.6915,74.55,2.075
12,19.75,5.188,76,2.03
12,20.25,5.612,79.4,1.585
12,20.75,5.779,79.95,1.585
12,21.25,5.587,79.4,1.565
12,21.75,4.6495,79.05,1.505
12,22.25,3.884,83.9,1.505
12,22.75,3.407,83.5,1.305
12,23.25,2.2375,87.65,0.9
12,23.75,2.1035,89.8,0.6
